siren,insee
210100012,01001
210100020,01002
210100046,01004
210100053,01005
210100061,01006
210100079,01007
210100087,01008
210100095,01009
210100103,01010
210100111,01011
210100129,01012
210100137,01013
210100145,01014
200053668,01015
210100160,01016
210100178,01017
210100194,01019
210100210,01021
210100228,01022
210100236,01023
210100244,01024
200077220,01025
210100269,01026
210100277,01027
210100285,01028
210100293,01029
210100301,01030
210100319,01031
210100327,01032
200083863,01033
210100343,01034
210100350,01035
200086411,01036
210100376,01037
210100384,01038
210100392,01039
210100400,01040
210100418,01041
210100426,01042
210100434,01043
210100442,01044
210100459,01045
210100467,01046
210100475,01047
210100491,01049
210100509,01050
210100517,01051
210100525,01052
210100533,01053
210100541,01054
210100566,01056
210100574,01057
210100582,01058
210100608,01060
210100616,01061
210100624,01062
210100632,01063
210100640,01064
210100657,01065
210100665,01066
210100673,01067
210100681,01068
210100699,01069
210100715,01071
210100723,01072
210100731,01073
210100749,01074
210100756,01075
210100764,01076
210100772,01077
210100780,01078
210100798,01079
200056695,01080
210100814,01081
210100822,01082
210100830,01083
210100848,01084
210100855,01085
210100871,01087
210100889,01088
210100897,01089
210100905,01090
210100921,01092
210100939,01093
210100947,01094
200062537,01095
210100962,01096
200063121,01098
210100996,01099
210101002,01100
210101010,01101
210101028,01102
210101036,01103
210101044,01104
210101051,01105
210101069,01106
210101077,01107
210101085,01108
210101093,01109
210101101,01110
210101119,01111
210101127,01112
210101135,01113
210101143,01114
210101150,01115
210101168,01116
210101176,01117
210101184,01118
210101218,01121
210101234,01123
210101242,01124
210101259,01125
210101275,01127
210101283,01128
210101291,01129
200086965,01130
210101333,01133
210101341,01134
210101358,01135
210101366,01136
210101382,01138
210101390,01139
210101408,01140
210101416,01141
210101424,01142
210101432,01143
210101457,01145
210101465,01146
210101473,01147
210101481,01148
210101499,01149
210101507,01150
210101515,01151
210101523,01152
210101531,01153
210101556,01155
210101564,01156
210101572,01157
210101580,01158
210101598,01159
210101606,01160
210101622,01162
210101630,01163
210101655,01165
210101663,01166
210101671,01167
210101697,01169
210101705,01170
210101713,01171
210101739,01173
210101747,01174
210101754,01175
210101770,01177
210101796,01179
210101804,01180
210101812,01181
210101838,01183
210101846,01184
200086122,01185
200053676,01187
210101887,01188
210101895,01189
210101903,01190
210101911,01191
210101929,01192
210101937,01193
210101945,01194
210101952,01195
210101960,01196
210101978,01197
210101986,01198
210101994,01199
210102000,01200
210102026,01202
210102034,01203
200053395,01204
210102067,01206
210102075,01207
210102083,01208
210102091,01209
210102109,01210
210102117,01211
210102125,01212
